acr_repo,ecr_repo,acr_tags,ecr_tags,acr_tags_missing_from_ecr,ecr_only_tags,tags_synced,acr_manifests,ecr_manifests,acr_manifests_missing_from_ecr,ecr_only_manifests,manifests_synced
phee-ns/phee-bulk-processor,phee-ns/phee-bulk-processor,5,5,0,0,YES,5,5,0,0,YES
phee-ns/phee-zeebe-ops,phee-ns/phee-zeebe-ops,5,5,0,0,YES,5,5,0,0,YES
prom/alertmanager,prom/alertmanager,1,1,0,0,YES,1,1,0,0,YES
prom/prometheus,prom/prometheus,1,1,0,0,YES,1,1,0,0,YES
rabbitmq,rabbitmq,1,1,0,0,YES,1,1,0,0,YES
rclone-image,rclone-image,1,1,0,0,YES,1,1,0,0,YES
risk-register,risk-register,29,29,0,0,YES,87,87,0,0,YES
shs-service,shs-service,23,23,0,0,YES,26,26,0,0,YES
tools/pg-restore,tools/pg-restore,2,2,0,0,YES,2,2,0,0,YES
us.icr.io/phee-ns/ph-ee-notifications,us.icr.io/phee-ns/ph-ee-notifications,3,3,0,0,YES,2,2,0,0,YES
TOTAL,,5084,5847,5,768,,7915,7742,699,526,
