acr_repo,ecr_repo,acr_tags,acr_manifests,ecr_tags,ecr_manifests,acr_only_tags,ecr_only_tags,tags_match,manifests_match
oneacrefund/roster-dataset,oneacrefund/roster-dataset,77,132,103,103,0,26,NO,NO
oneacrefund/rts-api,oneacrefund/rts-api,60,64,60,60,0,0,YES,NO
oneacrefund/rts-consumer,oneacrefund/rts-consumer,60,120,65,65,0,5,NO,NO
oneacrefund/rts-ui,oneacrefund/rts-ui,40,40,40,40,0,0,YES,YES
oneacrefund/sage-300-core,oneacrefund/sage-300-core,40,40,40,40,0,0,YES,YES
oneacrefund/sage-300-cron-connector,oneacrefund/sage-300-cron-connector,1,1,1,1,0,0,YES,YES
oneacrefund/sage-300-cron-proxy,oneacrefund/sage-300-cron-proxy,1,1,1,1,0,0,YES,YES
oneacrefund/sage-300-rabbitmq-connector,oneacrefund/sage-300-rabbitmq-connector,1,1,1,1,0,0,YES,YES
oneacrefund/sage-300-rabbitmq-proxy,oneacrefund/sage-300-rabbitmq-proxy,1,1,1,1,0,0,YES,YES
oneacrefund/sanction-screen-api,oneacrefund/sanction-screen-api,61,65,61,64,0,0,YES,NO
oneacrefund/sapb1-cache,oneacrefund/sapb1-cache,40,40,40,40,0,0,YES,YES
oneacrefund/sapb1-consumer,oneacrefund/sapb1-consumer,60,60,60,60,0,0,YES,YES
oneacrefund/sapb1-erply-consumer,oneacrefund/sapb1-erply-consumer,1,1,1,1,0,0,YES,YES
oneacrefund/sapb1-erply-producer,oneacrefund/sapb1-erply-producer,60,60,60,60,0,0,YES,YES
oneacrefund/sapb1-master-data-consumer,oneacrefund/sapb1-master-data-consumer,63,67,67,68,0,4,NO,NO
oneacrefund/sapb1-odoo-consumer,oneacrefund/sapb1-odoo-consumer,64,114,83,87,0,19,NO,NO
oneacrefund/sapb1-producer,oneacrefund/sapb1-producer,60,122,64,88,0,4,NO,NO
oneacrefund/scheduler,oneacrefund/scheduler,77,132,103,103,0,26,NO,NO
oneacrefund/sf-cache,oneacrefund/sf-cache,40,40,40,40,0,0,YES,YES
oneacrefund/sf-cache-etl,oneacrefund/sf-cache-etl,1,1,1,1,0,0,YES,YES
oneacrefund/sf-fetch-employee-data,oneacrefund/sf-fetch-employee-data,40,40,40,40,0,0,YES,YES
oneacrefund/sf-producer,oneacrefund/sf-producer,1,1,1,1,0,0,YES,YES
oneacrefund/sf-sync,oneacrefund/sf-sync,1,1,1,1,0,0,YES,YES
oneacrefund/shopxp-backend,oneacrefund/shopxp-backend,6,18,6,18,0,0,YES,YES
oneacrefund/shs-migrator,oneacrefund/shs-migrator,1,3,1,3,0,0,YES,YES
oneacrefund/sns,oneacrefund/sns,66,305,68,270,0,2,NO,NO
oneacrefund/superset,oneacrefund/superset,57,101,57,101,0,0,YES,YES
oneacrefund/sydent,oneacrefund/sydent,1,1,1,1,0,0,YES,YES
oneacrefund/sync-gw-dataset,oneacrefund/sync-gw-dataset,77,132,103,103,0,26,NO,NO
oneacrefund/tnm-connector,oneacrefund/tnm-connector,13,14,13,15,0,0,YES,NO
oneacrefund/tupande-connector,oneacrefund/tupande-connector,6,7,6,8,0,0,YES,NO
oneacrefund/tupande_timiza,oneacrefund/tupande_timiza,68,91,70,71,0,2,NO,NO
oneacrefund/uptime-kuma-wrapper,oneacrefund/uptime-kuma-wrapper,1,1,1,1,0,0,YES,YES
oneacrefund/uptime-wrapper-api,oneacrefund/uptime-wrapper-api,3,6,3,7,0,0,YES,NO
openfaas/faas-netes,openfaas/faas-netes,1,1,1,1,0,0,YES,YES
openfaas/gateway,openfaas/gateway,1,1,1,1,0,0,YES,YES
openfaas/of-watchdog,openfaas/of-watchdog,1,1,1,1,0,0,YES,YES
openfaas/queue-worker,openfaas/queue-worker,1,1,1,1,0,0,YES,YES
phee-ns/message-gateway,phee-ns/message-gateway,5,4,5,5,0,0,YES,NO
phee-ns/ops-web,phee-ns/ops-web,5,5,5,5,0,0,YES,YES
phee-ns/ph-ee-connector-ams-paygops,phee-ns/ph-ee-connector-ams-paygops,5,5,5,5,0,0,YES,YES
phee-ns/ph-ee-connector-ams-pesa,phee-ns/ph-ee-connector-ams-pesa,5,5,5,5,0,0,YES,YES
