acr_repo,ecr_repo,acr_tags,acr_manifests,ecr_tags,ecr_manifests,acr_only_tags,tags_match,manifests_match,ecr_only_tags
phee-ns/ph-ee-connector-slcb,phee-ns/ph-ee-connector-slcb,4,4,4,4,0,YES,YES,0
phee-ns/ph-ee-importer-es,phee-ns/ph-ee-importer-es,5,5,5,5,0,YES,YES,0
phee-ns/ph-ee-importer-rdbms,phee-ns/ph-ee-importer-rdbms,5,5,5,5,0,YES,YES,0
phee-ns/ph-ee-notifications,phee-ns/ph-ee-notifications,5,5,5,5,0,YES,YES,0
phee-ns/ph-ee-operations-app,phee-ns/ph-ee-operations-app,5,5,5,5,0,YES,YES,0
phee-ns/ph-ee-operations-web,phee-ns/ph-ee-operations-web,1,1,1,1,0,YES,YES,0
phee-ns/ph-ee-ops-web,phee-ns/ph-ee-ops-web,1,1,1,1,0,YES,YES,0
phee-ns/phee-bulk-processor,phee-ns/phee-bulk-processor,5,5,5,5,0,YES,YES,0
phee-ns/phee-zeebe-ops,phee-ns/phee-zeebe-ops,5,5,5,5,0,YES,YES,0
prom/alertmanager,prom/alertmanager,1,1,1,1,0,YES,YES,0
prom/prometheus,prom/prometheus,1,1,1,1,0,YES,YES,0
rabbitmq,rabbitmq,1,1,1,1,0,YES,YES,0
rclone-image,rclone-image,1,1,1,1,0,YES,YES,0
risk-register,risk-register,29,87,28,84,1,NO,NO,0
shs-service,shs-service,23,26,23,27,0,YES,NO,0
tools/pg-restore,tools/pg-restore,2,2,2,2,0,YES,YES,0
us.icr.io/phee-ns/ph-ee-notifications,us.icr.io/phee-ns/ph-ee-notifications,3,2,3,3,0,YES,NO,0
TOTAL,,5346,8279,5836,7733,1,,,491
